id,Prof,Ram,Dhananjay,Guru,Ashutosh,Gold
RidaBazzi--TimLindquist,N,N,N,N,N,N
RidaBazzi--RossMaciejewski,N,N,N,N,N,N
RidaBazzi--RyanMeuth,N,N,Y,N,N,N
RidaBazzi--PituMirchandani,N,N,N,N,N,N
RidaBazzi--BrianNelson,N,N,Y,N,N,N
RidaBazzi--RongPan,N,N,N,N,N,N
RidaBazzi--SethuramanPanchanathan,N,N,N,N,N,N
RidaBazzi--PaoloPapotti,N,N,N,N,N,N
RidaBazzi--GiuliaPedrielli,N,N,Y,N,N,N
RidaBazzi--FengboRen,N,N,N,N,N,N
RidaBazzi--AndreaWRicha,Y,N,N,N,N,N
RidaBazzi--GeorgeRunger,N,N,Y,N,N,N
RidaBazzi--HessamSarjoughian,N,N,Y,N,N,N
RidaBazzi--MohamedSarwat,N,N,Y,N,N,N
RidaBazzi--ArunabhaSen,Y,N,Y,N,N,N
RidaBazzi--PauloShakarian,N,Y,N,Y,N,N
RidaBazzi--AviralShrivastava,N,N,Y,N,N,N
RidaBazzi--DanShunk,N,N,Y,N,N,N
RidaBazzi--VioletSyrotiuk,Y,N,N,N,N,N
RidaBazzi--HanghangTong,N,N,N,N,N,N
RidaBazzi--KurtVanLehn,N,N,Y,N,N,N
RidaBazzi--JReneVillalobos,N,N,N,N,N,N
RidaBazzi--SarmaVrudhula,N,N,N,N,N,N
RidaBazzi--ErinWalker,N,N,N,N,N,N
RidaBazzi--CaroleJeanWu,N,N,Y,N,N,N
RidaBazzi--TeresaWu,N,N,N,N,N,N
RidaBazzi--GuoliangXue,N,Y,N,Y,N,N
RidaBazzi--YezhouYang,N,N,Y,N,N,N
RidaBazzi--StephenSYau,N,Y,N,Y,Y,Y
HeniBenAmor--NadyaBliss,N,N,Y,N,N,N
HeniBenAmor--KSelcukCandan,N,N,N,N,N,N
HeniBenAmor--YinongChen,N,N,N,N,N,N
HeniBenAmor--CharlesColbourn,N,N,Y,N,N,N
HeniBenAmor--JamesCollofello,N,N,N,N,N,N
HeniBenAmor--ParthaDasgupta,N,N,Y,N,N,N
HeniBenAmor--HasanDavulcu,N,N,N,N,N,N
HeniBenAmor--AdamDoupe,N,N,Y,N,N,N
HeniBenAmor--GeorgiosFainekos,Y,Y,Y,Y,N,Y
HeniBenAmor--AshrafGaffar,N,Y,N,N,N,N
HeniBenAmor--KevinGary,N,N,N,N,N,N
HeniBenAmor--EsmaGel,N,N,Y,N,N,N
HeniBenAmor--JavierGonzalezSanchez,N,N,Y,N,N,N
HeniBenAmor--SandeepGupta,N,N,Y,N,N,N
HeniBenAmor--DianneHansford,N,N,N,N,N,N
HeniBenAmor--JingruiHe,N,Y,N,Y,Y,Y
HeniBenAmor--DijiangHuang,N,N,Y,N,N,N
HeniBenAmor--SubbaraoKambhampati,Y,Y,Y,N,Y,Y
HeniBenAmor--JoohyungLee,Y,N,N,N,N,N
HeniBenAmor--YannHangLee,N,N,N,N,N,N
HeniBenAmor--BaoxinLi,N,N,N,N,N,N
HeniBenAmor--TimLindquist,N,N,N,N,N,N
HeniBenAmor--RossMaciejewski,N,N,Y,N,N,N
HeniBenAmor--RyanMeuth,N,N,N,N,N,N
HeniBenAmor--PituMirchandani,N,N,Y,N,N,N
HeniBenAmor--BrianNelson,N,N,Y,N,N,N
HeniBenAmor--RongPan,N,N,N,N,N,N
HeniBenAmor--SethuramanPanchanathan,Y,N,N,N,N,N
HeniBenAmor--PaoloPapotti,N,N,N,N,N,N
HeniBenAmor--GiuliaPedrielli,N,N,N,N,N,N
HeniBenAmor--FengboRen,N,N,N,N,N,N
HeniBenAmor--AndreaWRicha,N,N,Y,N,N,N
HeniBenAmor--GeorgeRunger,N,N,Y,N,N,N
HeniBenAmor--HessamSarjoughian,N,N,Y,N,N,N
HeniBenAmor--MohamedSarwat,N,N,Y,N,N,N
HeniBenAmor--ArunabhaSen,N,N,Y,N,N,N
HeniBenAmor--PauloShakarian,N,Y,Y,Y,N,Y
HeniBenAmor--AviralShrivastava,N,N,Y,N,N,N
HeniBenAmor--DanShunk,N,N,N,N,N,N
HeniBenAmor--VioletSyrotiuk,N,N,N,N,N,N
HeniBenAmor--HanghangTong,N,Y,Y,Y,Y,Y
HeniBenAmor--KurtVanLehn,N,Y,N,Y,Y,Y
HeniBenAmor--JReneVillalobos,N,N,N,N,N,N
HeniBenAmor--SarmaVrudhula,N,N,N,N,N,N
HeniBenAmor--ErinWalker,N,N,Y,N,N,N
HeniBenAmor--CaroleJeanWu,N,N,Y,N,N,N
HeniBenAmor--TeresaWu,N,N,Y,N,N,N
HeniBenAmor--GuoliangXue,N,N,N,N,N,N
HeniBenAmor--YezhouYang,Y,Y,Y,N,Y,Y
HeniBenAmor--StephenSYau,N,N,N,N,N,N
NadyaBliss--KSelcukCandan,N,Y,N,N,N,N
NadyaBliss--YinongChen,N,N,Y,Y,N,N
NadyaBliss--CharlesColbourn,N,N,Y,N,N,N
NadyaBliss--JamesCollofello,N,N,N,N,N,N
NadyaBliss--ParthaDasgupta,N,Y,Y,Y,N,Y
NadyaBliss--HasanDavulcu,N,Y,N,N,N,N
NadyaBliss--AdamDoupe,Y,Y,Y,Y,N,Y
NadyaBliss--GeorgiosFainekos,N,N,Y,N,N,N
NadyaBliss--AshrafGaffar,N,N,Y,N,N,N
NadyaBliss--KevinGary,N,N,N,N,N,N
NadyaBliss--EsmaGel,N,N,N,N,N,N
NadyaBliss--JavierGonzalezSanchez,N,N,Y,N,N,N
NadyaBliss--SandeepGupta,N,N,N,Y,N,N
NadyaBliss--DianneHansford,N,N,Y,N,N,N
NadyaBliss--JingruiHe,N,N,Y,N,N,N
NadyaBliss--DijiangHuang,N,N,N,N,Y,N
NadyaBliss--SubbaraoKambhampati,N,N,N,N,N,N
NadyaBliss--JoohyungLee,N,N,Y,N,N,N
NadyaBliss--YannHangLee,N,N,N,Y,N,N
NadyaBliss--BaoxinLi,N,N,N,N,N,N
NadyaBliss--TimLindquist,N,N,N,N,N,N
NadyaBliss--RossMaciejewski,N,Y,N,N,Y,N
NadyaBliss--RyanMeuth,N,N,N,N,N,N
NadyaBliss--PituMirchandani,N,N,Y,N,N,N
NadyaBliss--BrianNelson,N,N,Y,N,N,N
NadyaBliss--RongPan,N,N,Y,N,N,N
NadyaBliss--SethuramanPanchanathan,N,N,Y,N,N,N
NadyaBliss--PaoloPapotti,Y,N,Y,N,Y,Y
NadyaBliss--GiuliaPedrielli,N,N,Y,N,N,N
NadyaBliss--FengboRen,N,Y,N,N,N,N
NadyaBliss--AndreaWRicha,N,N,N,N,Y,N
NadyaBliss--GeorgeRunger,N,N,Y,N,N,N
NadyaBliss--HessamSarjoughian,N,N,Y,N,N,N
NadyaBliss--MohamedSarwat,Y,N,Y,N,Y,Y
NadyaBliss--ArunabhaSen,N,N,Y,N,N,N
NadyaBliss--PauloShakarian,Y,Y,N,Y,N,Y
NadyaBliss--AviralShrivastava,N,N,N,N,N,N
NadyaBliss--DanShunk,N,N,Y,N,N,N
NadyaBliss--VioletSyrotiuk,N,N,Y,N,N,N
NadyaBliss--HanghangTong,N,N,N,N,N,N
NadyaBliss--KurtVanLehn,N,N,N,N,N,N
NadyaBliss--JReneVillalobos,N,N,N,N,N,N
NadyaBliss--SarmaVrudhula,N,N,N,N,N,N
NadyaBliss--ErinWalker,N,N,Y,N,N,N
NadyaBliss--CaroleJeanWu,N,N,Y,N,N,N
NadyaBliss--TeresaWu,N,N,N,N,N,N
NadyaBliss--GuoliangXue,N,Y,N,Y,N,N
NadyaBliss--YezhouYang,N,N,N,N,N,N
NadyaBliss--StephenSYau,N,Y,N,Y,N,N
KSelcukCandan--YinongChen,N,N,Y,N,N,N
KSelcukCandan--CharlesColbourn,N,N,Y,N,N,N
KSelcukCandan--JamesCollofello,N,N,N,N,N,N
KSelcukCandan--ParthaDasgupta,N,N,N,N,N,N
KSelcukCandan--HasanDavulcu,Y,Y,Y,Y,Y,Y
KSelcukCandan--AdamDoupe,N,N,N,N,N,N
KSelcukCandan--GeorgiosFainekos,N,N,Y,N,N,N
KSelcukCandan--AshrafGaffar,N,N,Y,N,N,N
KSelcukCandan--KevinGary,N,N,Y,N,N,N
KSelcukCandan--EsmaGel,N,N,N,N,N,N
KSelcukCandan--JavierGonzalezSanchez,N,N,N,N,N,N
KSelcukCandan--SandeepGupta,N,N,N,N,N,N
KSelcukCandan--DianneHansford,N,N,N,N,N,N
KSelcukCandan--JingruiHe,N,N,N,N,N,N
KSelcukCandan--DijiangHuang,N,N,N,N,N,N
KSelcukCandan--SubbaraoKambhampati,N,N,Y,N,N,N
KSelcukCandan--JoohyungLee,N,N,Y,N,N,N
KSelcukCandan--YannHangLee,N,N,Y,N,N,N
KSelcukCandan--BaoxinLi,N,N,N,N,N,N
KSelcukCandan--TimLindquist,N,N,N,N,N,N
KSelcukCandan--RossMaciejewski,N,N,Y,N,N,N
KSelcukCandan--RyanMeuth,N,N,N,N,N,N
KSelcukCandan--PituMirchandani,N,N,N,N,N,N
KSelcukCandan--BrianNelson,N,N,Y,N,N,N
KSelcukCandan--RongPan,N,N,N,N,N,N
KSelcukCandan--SethuramanPanchanathan,N,N,Y,N,N,N
KSelcukCandan--PaoloPapotti,Y,N,N,Y,Y,Y
KSelcukCandan--GiuliaPedrielli,N,N,Y,N,N,N
KSelcukCandan--FengboRen,N,N,Y,N,N,N
KSelcukCandan--AndreaWRicha,N,N,Y,N,N,N
KSelcukCandan--GeorgeRunger,N,N,N,N,N,N
KSelcukCandan--HessamSarjoughian,N,N,Y,N,N,N
KSelcukCandan--MohamedSarwat,Y,Y,Y,N,Y,Y
KSelcukCandan--ArunabhaSen,N,N,N,N,N,N
KSelcukCandan--PauloShakarian,Y,N,N,N,N,N
KSelcukCandan--AviralShrivastava,N,N,N,N,N,N
KSelcukCandan--DanShunk,N,N,N,N,N,N
KSelcukCandan--VioletSyrotiuk,N,N,Y,N,N,N
KSelcukCandan--HanghangTong,Y,N,N,N,N,N
KSelcukCandan--KurtVanLehn,N,N,Y,N,N,N
KSelcukCandan--JReneVillalobos,N,N,N,N,N,N
KSelcukCandan--SarmaVrudhula,N,N,N,N,N,N
KSelcukCandan--ErinWalker,N,N,N,N,N,N
KSelcukCandan--CaroleJeanWu,N,N,Y,N,N,N
KSelcukCandan--TeresaWu,N,N,N,N,N,N
KSelcukCandan--GuoliangXue,N,N,Y,N,N,N
KSelcukCandan--YezhouYang,N,N,N,N,N,N
KSelcukCandan--StephenSYau,N,N,N,N,N,N
YinongChen--CharlesColbourn,N,N,Y,N,N,N
YinongChen--JamesCollofello,N,N,N,N,N,N
YinongChen--ParthaDasgupta,N,Y,Y,Y,N,Y
YinongChen--HasanDavulcu,N,N,N,N,N,N
YinongChen--AdamDoupe,N,N,Y,N,N,N
YinongChen--GeorgiosFainekos,N,N,Y,Y,Y,Y
YinongChen--AshrafGaffar,N,N,Y,N,N,N
YinongChen--KevinGary,N,N,Y,N,N,N
YinongChen--EsmaGel,N,N,N,N,N,N
YinongChen--JavierGonzalezSanchez,N,N,Y,N,N,N
YinongChen--SandeepGupta,N,Y,Y,Y,Y,Y
YinongChen--DianneHansford,N,N,N,N,N,N
YinongChen--JingruiHe,N,N,Y,N,N,N
YinongChen--DijiangHuang,N,N,Y,N,N,N
YinongChen--SubbaraoKambhampati,N,N,Y,N,N,N
YinongChen--JoohyungLee,N,N,N,Y,N,N
YinongChen--YannHangLee,N,Y,N,N,N,N
YinongChen--BaoxinLi,N,N,Y,N,N,N
YinongChen--TimLindquist,Y,N,N,Y,N,N
YinongChen--RossMaciejewski,N,N,Y,N,N,N
YinongChen--RyanMeuth,N,N,N,N,N,N
YinongChen--PituMirchandani,N,N,Y,N,N,N
YinongChen--BrianNelson,N,N,Y,N,N,N
YinongChen--RongPan,N,N,N,N,N,N
YinongChen--SethuramanPanchanathan,N,N,Y,N,N,N
YinongChen--PaoloPapotti,N,N,N,N,N,N
YinongChen--GiuliaPedrielli,N,N,N,N,N,N
YinongChen--FengboRen,N,N,Y,Y,N,N
YinongChen--AndreaWRicha,N,N,N,Y,N,N
YinongChen--GeorgeRunger,N,N,N,N,N,N
YinongChen--HessamSarjoughian,N,N,N,N,N,N
YinongChen--MohamedSarwat,N,N,N,N,N,N
YinongChen--ArunabhaSen,N,N,N,N,N,N
YinongChen--PauloShakarian,N,N,Y,N,N,N
YinongChen--AviralShrivastava,N,N,N,Y,N,N
YinongChen--DanShunk,N,N,N,N,N,N
YinongChen--VioletSyrotiuk,N,N,N,N,N,N
YinongChen--HanghangTong,N,N,N,N,N,N
YinongChen--KurtVanLehn,N,N,N,N,N,N
YinongChen--JReneVillalobos,N,N,N,N,N,N
YinongChen--SarmaVrudhula,N,N,Y,N,N,N
YinongChen--ErinWalker,N,N,Y,N,N,N
YinongChen--CaroleJeanWu,N,N,Y,N,N,N
YinongChen--TeresaWu,N,N,Y,N,N,N
YinongChen--GuoliangXue,N,N,N,N,N,N
YinongChen--YezhouYang,N,N,N,N,N,N
YinongChen--StephenSYau,N,Y,N,Y,N,N
CharlesColbourn--JamesCollofello,N,N,Y,N,N,N
CharlesColbourn--ParthaDasgupta,N,N,Y,N,N,N
CharlesColbourn--HasanDavulcu,N,N,Y,N,N,N
CharlesColbourn--AdamDoupe,N,N,Y,N,N,N
CharlesColbourn--GeorgiosFainekos,Y,N,N,N,N,N
CharlesColbourn--AshrafGaffar,N,N,Y,N,N,N
CharlesColbourn--KevinGary,N,N,Y,N,N,N
CharlesColbourn--EsmaGel,N,N,N,N,Y,N
CharlesColbourn--JavierGonzalezSanchez,N,N,N,N,N,N
CharlesColbourn--SandeepGupta,N,N,Y,N,N,N
CharlesColbourn--DianneHansford,N,N,Y,N,N,N
CharlesColbourn--JingruiHe,N,N,N,N,N,N
CharlesColbourn--DijiangHuang,N,N,Y,N,N,N
CharlesColbourn--SubbaraoKambhampati,N,N,Y,N,N,N
CharlesColbourn--JoohyungLee,N,N,N,N,N,N
CharlesColbourn--YannHangLee,N,N,Y,N,N,N
CharlesColbourn--BaoxinLi,N,N,N,N,N,N
CharlesColbourn--TimLindquist,N,N,N,N,N,N
CharlesColbourn--RossMaciejewski,N,N,Y,N,N,N
CharlesColbourn--RyanMeuth,N,N,Y,N,N,N
CharlesColbourn--PituMirchandani,N,N,N,N,N,N
CharlesColbourn--BrianNelson,N,N,N,N,N,N
CharlesColbourn--RongPan,N,N,N,N,N,N
CharlesColbourn--SethuramanPanchanathan,N,N,Y,N,N,N
CharlesColbourn--PaoloPapotti,N,N,N,N,N,N
CharlesColbourn--GiuliaPedrielli,N,N,N,N,N,N
CharlesColbourn--FengboRen,N,N,N,N,N,N
CharlesColbourn--AndreaWRicha,N,N,N,Y,Y,N
CharlesColbourn--GeorgeRunger,N,N,Y,N,N,N
CharlesColbourn--HessamSarjoughian,N,N,N,N,N,N
CharlesColbourn--MohamedSarwat,N,N,N,N,N,N
CharlesColbourn--ArunabhaSen,N,Y,Y,Y,N,Y
CharlesColbourn--PauloShakarian,N,N,N,N,N,N
CharlesColbourn--AviralShrivastava,N,N,Y,N,N,N
CharlesColbourn--DanShunk,N,N,Y,N,N,N
CharlesColbourn--VioletSyrotiuk,N,N,Y,Y,N,N
CharlesColbourn--HanghangTong,N,N,Y,N,N,N
CharlesColbourn--KurtVanLehn,N,N,Y,N,N,N
CharlesColbourn--JReneVillalobos,N,N,N,N,N,N
CharlesColbourn--SarmaVrudhula,N,N,Y,N,N,N
CharlesColbourn--ErinWalker,N,N,N,N,N,N
CharlesColbourn--CaroleJeanWu,N,N,Y,N,N,N
CharlesColbourn--TeresaWu,N,N,Y,N,N,N
CharlesColbourn--GuoliangXue,N,N,Y,N,N,N
CharlesColbourn--YezhouYang,N,N,N,N,N,N
CharlesColbourn--StephenSYau,N,N,N,N,N,N
JamesCollofello--ParthaDasgupta,N,N,Y,N,N,N
JamesCollofello--HasanDavulcu,N,N,Y,N,N,N
JamesCollofello--AdamDoupe,N,N,Y,N,N,N
JamesCollofello--GeorgiosFainekos,N,Y,N,N,N,N
JamesCollofello--AshrafGaffar,N,N,N,N,N,N
JamesCollofello--KevinGary,Y,Y,Y,N,N,Y
JamesCollofello--EsmaGel,N,N,Y,N,N,N
JamesCollofello--JavierGonzalezSanchez,N,Y,Y,Y,N,Y
JamesCollofello--SandeepGupta,N,N,N,N,N,N
JamesCollofello--DianneHansford,N,N,Y,N,N,N
JamesCollofello--JingruiHe,N,N,N,N,N,N
JamesCollofello--DijiangHuang,N,N,Y,N,N,N
JamesCollofello--SubbaraoKambhampati,N,N,Y,N,N,N
JamesCollofello--JoohyungLee,N,N,N,N,N,N
JamesCollofello--YannHangLee,N,N,Y,N,N,N
JamesCollofello--BaoxinLi,N,N,Y,N,N,N
JamesCollofello--TimLindquist,N,Y,N,Y,Y,Y
JamesCollofello--RossMaciejewski,N,N,N,N,N,N
JamesCollofello--RyanMeuth,N,N,Y,N,N,N
JamesCollofello--PituMirchandani,N,N,Y,N,N,N
JamesCollofello--BrianNelson,N,N,Y,N,N,N
JamesCollofello--RongPan,N,N,Y,N,N,N
JamesCollofello--SethuramanPanchanathan,N,N,Y,N,N,N
JamesCollofello--PaoloPapotti,N,N,N,N,N,N
JamesCollofello--GiuliaPedrielli,N,N,Y,N,N,N
JamesCollofello--FengboRen,N,N,N,N,N,N
JamesCollofello--AndreaWRicha,N,N,Y,N,N,N
JamesCollofello--GeorgeRunger,N,N,N,N,N,N
JamesCollofello--HessamSarjoughian,N,N,Y,N,N,N
JamesCollofello--MohamedSarwat,N,N,Y,N,N,N
JamesCollofello--ArunabhaSen,N,N,Y,N,N,N
JamesCollofello--PauloShakarian,N,N,Y,N,N,N
JamesCollofello--AviralShrivastava,N,N,Y,N,N,N
JamesCollofello--DanShunk,N,N,Y,N,N,N
JamesCollofello--VioletSyrotiuk,N,N,Y,N,N,N
JamesCollofello--HanghangTong,N,N,N,N,N,N
JamesCollofello--KurtVanLehn,N,N,N,N,N,N
JamesCollofello--JReneVillalobos,N,N,N,N,N,N
JamesCollofello--SarmaVrudhula,N,N,Y,N,N,N
JamesCollofello--ErinWalker,N,N,Y,N,N,N
JamesCollofello--CaroleJeanWu,N,N,Y,N,N,N
JamesCollofello--TeresaWu,N,N,Y,N,N,N
JamesCollofello--GuoliangXue,N,N,Y,N,N,N
JamesCollofello--YezhouYang,N,N,N,N,N,N
JamesCollofello--StephenSYau,N,Y,N,Y,N,N
ParthaDasgupta--HasanDavulcu,N,N,Y,N,N,N
ParthaDasgupta--AdamDoupe,N,Y,Y,Y,Y,Y
ParthaDasgupta--GeorgiosFainekos,N,N,N,N,N,N
ParthaDasgupta--AshrafGaffar,N,N,Y,N,N,N
ParthaDasgupta--KevinGary,N,N,Y,N,N,N
ParthaDasgupta--EsmaGel,N,N,Y,N,N,N
ParthaDasgupta--JavierGonzalezSanchez,N,N,Y,N,N,N
ParthaDasgupta--SandeepGupta,N,Y,Y,Y,N,Y
ParthaDasgupta--DianneHansford,N,N,N,N,N,N
ParthaDasgupta--JingruiHe,N,N,Y,N,N,N
ParthaDasgupta--DijiangHuang,N,Y,Y,N,N,N
ParthaDasgupta--SubbaraoKambhampati,N,N,Y,N,N,N
ParthaDasgupta--JoohyungLee,N,N,Y,N,N,N
ParthaDasgupta--YannHangLee,N,Y,Y,Y,Y,Y
ParthaDasgupta--BaoxinLi,N,N,N,N,N,N
ParthaDasgupta--TimLindquist,N,N,N,N,N,N
ParthaDasgupta--RossMaciejewski,N,N,Y,N,N,N
ParthaDasgupta--RyanMeuth,N,N,Y,N,N,N
ParthaDasgupta--PituMirchandani,N,N,Y,N,N,N
ParthaDasgupta--BrianNelson,N,N,Y,N,N,N
ParthaDasgupta--RongPan,N,N,N,N,N,N
ParthaDasgupta--SethuramanPanchanathan,N,N,N,N,Y,N
ParthaDasgupta--PaoloPapotti,N,N,Y,N,N,N
ParthaDasgupta--GiuliaPedrielli,N,N,Y,N,N,N
ParthaDasgupta--FengboRen,N,N,Y,N,N,N
ParthaDasgupta--AndreaWRicha,N,N,Y,N,N,N
ParthaDasgupta--GeorgeRunger,N,N,Y,N,N,N
ParthaDasgupta--HessamSarjoughian,N,N,N,N,N,N
ParthaDasgupta--MohamedSarwat,N,N,Y,N,N,N
ParthaDasgupta--ArunabhaSen,N,N,N,N,N,N
ParthaDasgupta--PauloShakarian,N,Y,Y,Y,N,Y
ParthaDasgupta--AviralShrivastava,N,N,N,N,N,N
ParthaDasgupta--DanShunk,N,N,N,N,N,N
ParthaDasgupta--VioletSyrotiuk,N,N,N,N,N,N
ParthaDasgupta--HanghangTong,N,N,N,N,N,N
ParthaDasgupta--KurtVanLehn,N,N,Y,N,N,N
ParthaDasgupta--JReneVillalobos,N,N,N,N,N,N
ParthaDasgupta--SarmaVrudhula,N,N,Y,N,N,N
ParthaDasgupta--ErinWalker,N,N,Y,N,N,N
ParthaDasgupta--CaroleJeanWu,N,N,Y,N,N,N
ParthaDasgupta--TeresaWu,N,N,Y,N,N,N
ParthaDasgupta--GuoliangXue,N,Y,N,Y,N,N
ParthaDasgupta--YezhouYang,N,N,N,N,N,N
ParthaDasgupta--StephenSYau,N,Y,N,Y,N,N
HasanDavulcu--AdamDoupe,N,N,Y,N,N,N
HasanDavulcu--GeorgiosFainekos,N,N,Y,N,N,N
HasanDavulcu--AshrafGaffar,N,N,N,N,N,N
HasanDavulcu--KevinGary,N,N,N,N,N,N
HasanDavulcu--EsmaGel,N,N,N,N,N,N
HasanDavulcu--JavierGonzalezSanchez,N,N,N,N,N,N
HasanDavulcu--SandeepGupta,N,N,Y,N,N,N
HasanDavulcu--DianneHansford,N,N,N,N,N,N
HasanDavulcu--JingruiHe,Y,N,N,N,N,N
HasanDavulcu--DijiangHuang,N,N,N,N,N,N
HasanDavulcu--SubbaraoKambhampati,N,N,Y,N,N,N
HasanDavulcu--JoohyungLee,N,N,N,N,N,N
HasanDavulcu--YannHangLee,N,N,N,N,N,N
HasanDavulcu--BaoxinLi,N,N,N,N,N,N
HasanDavulcu--TimLindquist,N,N,Y,N,N,N
HasanDavulcu--RossMaciejewski,N,N,N,N,N,N
HasanDavulcu--RyanMeuth,N,N,Y,N,N,N
HasanDavulcu--PituMirchandani,N,N,Y,N,N,N
HasanDavulcu--BrianNelson,N,N,Y,N,Y,N
HasanDavulcu--RongPan,N,N,Y,N,N,N
HasanDavulcu--SethuramanPanchanathan,N,N,N,N,N,N
HasanDavulcu--PaoloPapotti,N,Y,N,Y,Y,Y
HasanDavulcu--GiuliaPedrielli,N,N,N,N,N,N
HasanDavulcu--FengboRen,N,N,Y,N,N,N
HasanDavulcu--AndreaWRicha,N,N,N,N,N,N
HasanDavulcu--GeorgeRunger,N,Y,Y,N,Y,Y
HasanDavulcu--HessamSarjoughian,N,N,Y,N,N,N
HasanDavulcu--MohamedSarwat,N,Y,Y,N,Y,Y
HasanDavulcu--ArunabhaSen,N,N,Y,N,N,N
HasanDavulcu--PauloShakarian,N,N,Y,N,N,N
HasanDavulcu--AviralShrivastava,N,N,N,N,N,N
HasanDavulcu--DanShunk,N,N,N,N,N,N
HasanDavulcu--VioletSyrotiuk,N,N,Y,N,N,N
HasanDavulcu--HanghangTong,Y,Y,N,N,Y,Y
HasanDavulcu--KurtVanLehn,N,N,Y,N,N,N
HasanDavulcu--JReneVillalobos,N,N,N,N,N,N
HasanDavulcu--SarmaVrudhula,N,N,N,N,N,N
HasanDavulcu--ErinWalker,N,N,Y,N,N,N
HasanDavulcu--CaroleJeanWu,N,N,Y,N,N,N
HasanDavulcu--TeresaWu,N,N,Y,N,N,N
HasanDavulcu--GuoliangXue,N,N,Y,N,N,N
HasanDavulcu--YezhouYang,N,N,N,N,N,N
HasanDavulcu--StephenSYau,N,N,N,N,N,N
AdamDoupe--GeorgiosFainekos,N,N,Y,N,Y,N
AdamDoupe--AshrafGaffar,N,N,N,N,N,N
AdamDoupe--KevinGary,N,N,N,N,N,N
AdamDoupe--EsmaGel,N,N,N,N,N,N
AdamDoupe--JavierGonzalezSanchez,N,N,N,N,N,N
AdamDoupe--SandeepGupta,N,N,N,N,Y,N
AdamDoupe--DianneHansford,N,N,Y,N,N,N
AdamDoupe--JingruiHe,N,N,Y,N,N,N
AdamDoupe--DijiangHuang,N,Y,N,N,N,N
AdamDoupe--SubbaraoKambhampati,N,N,Y,N,N,N
AdamDoupe--JoohyungLee,N,N,N,N,N,N
AdamDoupe--YannHangLee,N,N,N,N,N,N
AdamDoupe--BaoxinLi,N,N,Y,N,N,N
AdamDoupe--TimLindquist,N,N,Y,N,N,N
AdamDoupe--RossMaciejewski,N,N,N,N,N,N
AdamDoupe--RyanMeuth,N,N,Y,N,N,N
AdamDoupe--PituMirchandani,N,N,Y,N,N,N
AdamDoupe--BrianNelson,N,N,Y,N,N,N
AdamDoupe--RongPan,N,N,N,N,N,N
AdamDoupe--SethuramanPanchanathan,N,N,N,N,N,N
AdamDoupe--PaoloPapotti,N,N,N,N,N,N
AdamDoupe--GiuliaPedrielli,N,N,N,N,N,N
AdamDoupe--FengboRen,N,N,N,N,N,N
AdamDoupe--AndreaWRicha,N,N,N,N,N,N
AdamDoupe--GeorgeRunger,N,N,Y,N,N,N
AdamDoupe--HessamSarjoughian,N,N,Y,N,N,N
AdamDoupe--MohamedSarwat,N,N,Y,N,N,N
AdamDoupe--ArunabhaSen,N,N,N,N,N,N
AdamDoupe--PauloShakarian,N,Y,N,Y,Y,Y
AdamDoupe--AviralShrivastava,N,N,Y,N,N,N
AdamDoupe--DanShunk,N,N,Y,N,N,N
AdamDoupe--VioletSyrotiuk,N,N,N,N,N,N
AdamDoupe--HanghangTong,N,N,Y,N,N,N
AdamDoupe--KurtVanLehn,N,N,N,N,N,N
AdamDoupe--JReneVillalobos,N,N,N,N,N,N
AdamDoupe--SarmaVrudhula,N,N,Y,N,N,N
AdamDoupe--ErinWalker,N,N,N,N,N,N
AdamDoupe--CaroleJeanWu,N,N,N,N,N,N
AdamDoupe--TeresaWu,N,N,N,N,N,N
AdamDoupe--GuoliangXue,N,Y,N,Y,Y,Y
AdamDoupe--YezhouYang,N,N,N,N,N,N
AdamDoupe--StephenSYau,Y,Y,N,Y,Y,Y
GeorgiosFainekos--AshrafGaffar,N,N,Y,N,N,N
GeorgiosFainekos--KevinGary,N,N,N,N,N,N
GeorgiosFainekos--EsmaGel,N,N,Y,N,N,N
GeorgiosFainekos--JavierGonzalezSanchez,N,N,N,N,N,N
GeorgiosFainekos--SandeepGupta,N,N,Y,N,Y,N
GeorgiosFainekos--DianneHansford,N,N,Y,N,N,N
GeorgiosFainekos--JingruiHe,N,N,Y,N,N,N
GeorgiosFainekos--DijiangHuang,N,N,N,N,N,N
GeorgiosFainekos--SubbaraoKambhampati,N,N,N,N,N,N
GeorgiosFainekos--JoohyungLee,N,N,N,N,N,N
GeorgiosFainekos--YannHangLee,N,Y,Y,N,N,N
GeorgiosFainekos--BaoxinLi,N,N,N,N,N,N
GeorgiosFainekos--TimLindquist,N,N,N,N,N,N
GeorgiosFainekos--RossMaciejewski,N,N,N,N,N,N
GeorgiosFainekos--RyanMeuth,N,N,N,N,N,N
GeorgiosFainekos--PituMirchandani,N,N,Y,N,N,N
GeorgiosFainekos--BrianNelson,N,N,Y,N,N,N
GeorgiosFainekos--RongPan,N,N,Y,N,N,N
GeorgiosFainekos--SethuramanPanchanathan,N,N,N,N,N,N
GeorgiosFainekos--PaoloPapotti,N,N,N,N,N,N
GeorgiosFainekos--GiuliaPedrielli,N,N,Y,N,N,N
GeorgiosFainekos--FengboRen,N,N,Y,N,N,N
GeorgiosFainekos--AndreaWRicha,N,N,Y,N,N,N
GeorgiosFainekos--GeorgeRunger,N,N,Y,N,N,N
